"","county","GEOID","yearG","CAUSE","Ndeaths","YLL","m.YLL","Level","popTot","YLLper","cDeathRate"
"143","Alameda","06001405000","2011-2015",69,8,165.18,20.6475,"gbd3",3364,982.0451843044,47.5624256837099
"144","Alameda","06001405000","2001-2005",69,1,9.38,9.38,"gbd3",3364,55.7669441141498,5.94530321046373
"145","Alameda","06001405000","2006-2010",69,7,228.12,32.5885714285714,"gbd3",3364,1356.24256837099,41.6171224732461
"146","Alameda","06001405100","2006-2010",69,13,310.02,23.8476923076923,"gbd3",4248,1459.60451977401,61.2052730696798
"147","Alameda","06001405100","2001-2005",69,2,115.09,57.545,"gbd3",4248,541.854990583804,9.41619585687382
"148","Alameda","06001405100","2011-2015",69,17,330.4,19.4352941176471,"gbd3",4248,1555.55555555556,80.0376647834275
"149","Alameda","06001405200","2011-2015",69,13,228.6,17.5846153846154,"gbd3",4783,955.885427555927,54.3591887936442
"150","Alameda","06001405200","2001-2005",69,1,8.76,8.76,"gbd3",4783,36.6297302947941,4.18147606104955
"151","Alameda","06001405200","2006-2010",69,20,472.93,23.6465,"gbd3",4783,1977.54547355216,83.629521220991
"152","Alameda","06001405301","2011-2015",69,11,254.32,23.12,"gbd3",2777,1831.61685271876,79.2221822110191
"153","Alameda","06001405301","2006-2010",69,6,225.6,37.6,"gbd3",2777,1624.77493698236,43.2120993878286
"154","Alameda","06001405301","2001-2005",69,2,50.31,25.155,"gbd3",2777,362.333453366943,14.4040331292762
"155","Alameda","06001405302","2011-2015",69,13,380.35,29.2576923076923,"gbd3",2532,3004.34439178515,102.685624012638
"156","Alameda","06001405302","2006-2010",69,12,348.51,29.0425,"gbd3",2532,2752.84360189573,94.7867298578199
"157","Alameda","06001405401","2001-2005",69,3,46.51,15.5033333333333,"gbd3",4138,224.794586756887,14.499758337361
"158","Alameda","06001405401","2011-2015",69,12,171.81,14.3175,"gbd3",4138,830.401159980667,57.9990333494442
"159","Alameda","06001405401","2006-2010",69,12,420.67,35.0558333333333,"gbd3",4138,2033.20444659256,57.9990333494442
"160","Alameda","06001405402","2001-2005",69,2,29.68,14.84,"gbd3",3055,194.30441898527,13.0932896890344
"161","Alameda","06001405402","2006-2010",69,9,167.2,18.5777777777778,"gbd3",3055,1094.59901800327,58.9198036006547
"162","Alameda","06001405402","2011-2015",69,14,281.53,20.1092857142857,"gbd3",3055,1843.07692307692,91.6530278232406
"163","Alameda","06001405500","2001-2005",69,2,24.44,12.22,"gbd3",4047,120.780825302693,9.8838645910551
"164","Alameda","06001405500","2006-2010",69,17,440.09,25.8876470588235,"gbd3",4047,2174.89498393872,84.0128490239684
"165","Alameda","06001405500","2011-2015",69,11,207.34,18.8490909090909,"gbd3",4047,1024.66024215468,54.3612552508031
"166","Alameda","06001405600","2006-2010",69,11,214.86,19.5327272727273,"gbd3",3205,1340.78003120125,68.6427457098284
"167","Alameda","06001405600","2011-2015",69,6,66.81,11.135,"gbd3",3205,416.911076443058,37.4414976599064
"168","Alameda","06001405600","2001-2005",69,1,9.38,9.38,"gbd3",3205,58.5335413416537,6.2402496099844
"169","Alameda","06001405700","2006-2010",69,7,241.96,34.5657142857143,"gbd3",3352,1443.6754176611,41.7661097852029
"170","Alameda","06001405700","2011-2015",69,8,164.97,20.62125,"gbd3",3352,984.307875894988,47.7326968973747
