"","county","year","sex","CAUSE","Level","Ndeaths","YLL","m.YLL","mean.age","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","SMR","aRate","aLCI","aUCI","YLL.adj.rate"
"28","Alameda",2000,"Total",157,"gbd36",410,7071,17.25,77.93,1449000,488.1,476.7,499.4,28.3,25.56,31.04,1.612,34.36,31.11,37.87,572.5
"29","Alameda",2000,"Total",160,"gbd36",296,10410,35.16,57.76,1449000,718.3,704.5,732.1,20.43,18.1,22.76,0.9638,22.43,19.93,25.17,753.3
"30","Alameda",2000,"Total",167,"gbd36",232,5614,24.2,70.25,1449000,387.5,377.4,397.7,16.01,13.95,18.07,0.9084,18.76,16.41,21.35,426.9
"31","Alameda",2000,"Total",168,"gbd36",404,7176,17.76,77.3,1449000,495.3,483.9,506.8,27.89,25.17,30.6,1.148,33.8,30.58,37.28,580.6
"32","Alameda",2000,"Total",178,"gbd36",42,846.5,20.16,75,1449000,58.43,54.5,62.37,2.899,2.022,3.776,2.088,3.441,2.477,4.665,65.38
"33","Alameda",2000,"Total",179,"gbd36",138,3544,25.68,68.84,1449000,244.6,236.6,252.7,9.525,7.936,11.11,1.21,10.86,9.115,12.86,258.4
"34","Alameda",2000,"Total",185,"gbd36",90,6733,74.81,17.49,1449000,464.8,453.7,475.9,6.212,4.929,7.496,0.8264,6.316,5.073,7.795,467.9
"35","Alameda",2000,"Total",192,"gbd36",4,46.76,11.69,84,1449000,3.228,2.302,4.153,0.2761,0.005527,0.5467,0,0.3402,0.0927,0.879,3.974
"36","Alameda",2000,"Total",198,"gbd36",514,20580,40.03,53.3,1449000,1420,1401,1440,35.48,32.41,38.55,0.8437,38.36,35.08,41.87,1440
"37","Alameda",2000,"Total",208,"gbd36",216,9452,43.76,48.84,1449000,652.4,639.3,665.6,14.91,12.92,16.9,0.8142,15.29,13.3,17.51,638.1
"38","Alameda",2000,"Total",209,"gbd36",242,14490,59.88,32.32,1449000,1000,984,1017,16.7,14.6,18.81,1.363,15.81,13.87,17.98,940.2
