"","comID","yearG","sex","CAUSE","county","Ndeaths","YLL","m.YLL","mean.age","Level","pop","YLLper","YLLrateLCI","YLLrateUCI","cDeathRate","rateLCI","rateUCI","comName","oDeaths","aRate","aLCI","aUCI","YLL.adj.rate"
"20","112.2","2011-2015","Total","0","Napa",2089,32530,15.57,80.26,"lev0",31180,20860,20640,21090,1340,1282,1397,"Napa Northeast/Rutherford/Yountville",2090,710.1,677.6,744.5,13950
"21","112.3","2011-2015","Total","0","Napa",589,12880,21.86,72.76,"lev0",20360,12650,12430,12870,578.7,532,625.5,"American Canyon",590,851.6,779.1,929.6,15000
"22","113","2011-2015","Total","0","Nevada",4153,73190,17.62,77.89,"lev0",78350,18680,18550,18820,1060,1028,1092,"Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood",4405,644.7,624.1,666.2,14070
"23","114","2011-2015","Total","0","Nevada",377,9857,26.14,68.01,"lev0",20160,9778,9585,9971,374,336.3,411.8,"North Bloomfield/North San Juan/Truckee",388,545.2,486.8,609.3,11330
"24","115.1","2011-2015","Total","0","Orange",4192,74190,17.7,77.92,"lev0",115400,12860,12760,12950,726.4,704.4,748.4,"Dana Point/San Clemente/San Juan Capistrano",4193,536.5,519.9,553.5,10730
"25","115.2a","2011-2015","Total","0","Orange",3293,63270,19.21,76.21,"lev0",112100,11290,11200,11380,587.7,567.6,607.8,"Lake Forest East/Mission Viejo Central and South",3293,650.6,627.8,674.1,11710
"26","115.2b","2011-2015","Total","0","Orange",2777,55400,19.95,75.18,"lev0",136700,8102,8035,8170,406.2,391,421.3,"Coto de Caza/Las Flores/Mission Viejo Northwest/Rancho Santa Margarita/Trabuco Canyon",2778,530.9,510.9,551.5,9253
"27","115.2c","2011-2015","Total","0","Orange",3218,60460,18.79,76.63,"lev0",126200,9582,9505,9658,510,492.3,527.6,"Aliso Viejo/Laguna Hills/Laguna Niguel",3218,559.6,540,579.8,9708
"28","115.2d","2011-2015","Total","0","Orange",5127,70530,13.76,82.57,"lev0",76040,18550,18410,18690,1349,1312,1385,"Laguna Beach/Laguna Woods",5127,509.1,493,525.9,10130
"29","116a","2011-2015","Total","0","Orange",2331,52190,22.39,72.21,"lev0",80380,12990,12870,13100,580,556.4,603.5,"Buena Park/La Palma",2331,633.1,607.4,659.7,13460
"30","116b","2011-2015","Total","0","Orange",1770,50370,28.46,65.72,"lev0",116600,8639,8563,8714,303.5,289.4,317.7,"Santa Ana Central",1770,621.9,591.1,654,13320
