year,agell,ageul,sex,geoName,nx,raceCode
2009,15,19,Female,Danville,1469,Total
2009,15,19,Female,El Cerrito,253,Total
2009,15,19,Female,Hercules,854,Total
2009,15,19,Female,Lafayette,932,Total
2009,15,19,Female,Martinez,970,Total
2009,15,19,Female,Moraga,1312,Total
2009,15,19,Female,Oakley,1100,Total
2009,15,19,Female,Orinda,716,Total
2009,15,19,Female,Pinole,620,Total
2009,15,19,Female,Pittsburg,2296,Total
2009,15,19,Female,Pleasant Hill,1034,Total
2009,15,19,Female,Richmond,3457,Total
2009,15,19,Female,San Pablo,924,Total
2009,15,19,Female,San Ramon,1264,Total
2009,15,19,Female,Walnut Creek,1736,Total
2009,20,24,Female,Antioch,3584,Total
2009,20,24,Female,Brentwood,847,Total
2009,20,24,Female,Clayton,301,Total
2009,20,24,Female,Concord,4065,Total
2009,20,24,Female,Danville,723,Total
2009,20,24,Female,El Cerrito,434,Total
2009,20,24,Female,Hercules,580,Total
2009,20,24,Female,Lafayette,428,Total
2009,20,24,Female,Martinez,790,Total
2009,20,24,Female,Moraga,481,Total
2009,20,24,Female,Oakley,1052,Total
2009,20,24,Female,Orinda,343,Total
2009,20,24,Female,Pinole,577,Total
2009,20,24,Female,Pittsburg,2725,Total
2009,20,24,Female,Pleasant Hill,794,Total
2009,20,24,Female,Richmond,3620,Total
2009,20,24,Female,San Pablo,1139,Total
2009,20,24,Female,San Ramon,919,Total
2009,20,24,Female,Walnut Creek,1605,Total
2009,25,29,Female,Antioch,3031,Total
2009,25,29,Female,Brentwood,891,Total
2009,25,29,Female,Clayton,152,Total
2009,25,29,Female,Concord,4114,Total
2009,25,29,Female,Danville,507,Total
2009,25,29,Female,El Cerrito,796,Total
2009,25,29,Female,Hercules,790,Total
2009,25,29,Female,Lafayette,441,Total
2009,25,29,Female,Martinez,870,Total
2009,25,29,Female,Moraga,161,Total
2009,25,29,Female,Oakley,987,Total
2009,25,29,Female,Orinda,144,Total
2009,25,29,Female,Pinole,384,Total
2009,25,29,Female,Pittsburg,2251,Total
2009,25,29,Female,Pleasant Hill,1065,Total
2009,25,29,Female,Richmond,3767,Total
2009,25,29,Female,San Pablo,956,Total
2009,25,29,Female,San Ramon,1214,Total
2009,25,29,Female,Walnut Creek,1611,Total
2009,30,34,Female,Antioch,2830,Total
2009,30,34,Female,Brentwood,1709,Total
2009,30,34,Female,Clayton,151,Total
2009,30,34,Female,Concord,3987,Total
2009,30,34,Female,Danville,685,Total
2009,30,34,Female,El Cerrito,762,Total
2009,30,34,Female,Hercules,927,Total
2009,30,34,Female,Lafayette,418,Total
2009,30,34,Female,Martinez,1151,Total
2009,30,34,Female,Moraga,152,Total
2009,30,34,Female,Oakley,597,Total
2009,30,34,Female,Orinda,287,Total
2009,30,34,Female,Pinole,525,Total
2009,30,34,Female,Pittsburg,2222,Total
2009,30,34,Female,Pleasant Hill,950,Total
2009,30,34,Female,Richmond,3939,Total
2009,30,34,Female,San Pablo,1064,Total
2009,30,34,Female,San Ramon,1786,Total
2009,30,34,Female,Walnut Creek,1478,Total
2009,35,39,Female,Antioch,3958,Total
2009,35,39,Female,Brentwood,2367,Total
2009,35,39,Female,Clayton,465,Total
2009,35,39,Female,Concord,4596,Total
2009,35,39,Female,Danville,1273,Total
2009,35,39,Female,El Cerrito,942,Total
2009,35,39,Female,Hercules,903,Total
2009,35,39,Female,Lafayette,769,Total
2009,35,39,Female,Martinez,1181,Total
2009,35,39,Female,Moraga,517,Total
2009,35,39,Female,Oakley,1160,Total
2009,35,39,Female,Orinda,460,Total
2009,35,39,Female,Pinole,669,Total
2009,35,39,Female,Pittsburg,1914,Total
2009,35,39,Female,Pleasant Hill,1203,Total
2009,35,39,Female,Richmond,3815,Total
2009,35,39,Female,San Pablo,1354,Total
2009,35,39,Female,San Ramon,2330,Total
2009,35,39,Female,Walnut Creek,1825,Total
2009,40,44,Female,Antioch,3534,Total
2009,40,44,Female,Brentwood,2339,Total
2009,40,44,Female,Clayton,607,Total
2009,40,44,Female,Concord,4905,Total
2009,40,44,Female,Danville,2228,Total
2009,40,44,Female,El Cerrito,1013,Total
2009,40,44,Female,Hercules,1109,Total
2009,40,44,Female,Lafayette,840,Total
2009,40,44,Female,Martinez,1396,Total
2009,40,44,Female,Moraga,643,Total
2009,40,44,Female,Oakley,1391,Total
2009,40,44,Female,Orinda,636,Total
2009,40,44,Female,Pinole,645,Total
2009,40,44,Female,Pittsburg,2607,Total
2009,40,44,Female,Pleasant Hill,1320,Total
2009,40,44,Female,Richmond,3487,Total
2009,40,44,Female,San Pablo,936,Total
2009,40,44,Female,San Ramon,2652,Total
2009,40,44,Female,Walnut Creek,2103,Total
2009,45,49,Female,Antioch,4447,Total
2009,45,49,Female,Brentwood,1637,Total
2009,45,49,Female,Clayton,400,Total
2009,45,49,Female,Concord,4929,Total
2009,45,49,Female,Danville,2300,Total
2009,45,49,Female,El Cerrito,714,Total
2009,45,49,Female,Hercules,1391,Total
2009,45,49,Female,Lafayette,1222,Total
2009,45,49,Female,Martinez,1802,Total
2009,45,49,Female,Moraga,731,Total
2009,45,49,Female,Oakley,1358,Total
2009,45,49,Female,Orinda,905,Total
2009,45,49,Female,Pinole,952,Total
2009,45,49,Female,Pittsburg,2324,Total
2009,45,49,Female,Pleasant Hill,1417,Total
2009,45,49,Female,Richmond,3503,Total
2009,45,49,Female,San Pablo,797,Total
2009,45,49,Female,San Ramon,2008,Total
2009,45,49,Female,Walnut Creek,2376,Total
2009,50,54,Female,Antioch,3261,Total
2009,50,54,Female,Brentwood,1109,Total
2009,50,54,Female,Clayton,497,Total
2009,50,54,Female,Concord,4429,Total
2009,50,54,Female,Danville,1939,Total
2009,50,54,Female,El Cerrito,857,Total
2009,50,54,Female,Hercules,1293,Total
2009,50,54,Female,Lafayette,1009,Total
2009,50,54,Female,Martinez,1794,Total
2009,50,54,Female,Moraga,683,Total
2009,50,54,Female,Oakley,761,Total
2009,50,54,Female,Orinda,989,Total
2009,50,54,Female,Pinole,895,Total
2009,50,54,Female,Pittsburg,1812,Total
2009,50,54,Female,Pleasant Hill,1218,Total
2009,50,54,Female,Richmond,3956,Total
2009,50,54,Female,San Pablo,1090,Total
2009,50,54,Female,San Ramon,1829,Total
2009,50,54,Female,Walnut Creek,2596,Total
2009,55,59,Female,Antioch,2555,Total
2009,55,59,Female,Brentwood,1008,Total
2009,55,59,Female,Clayton,398,Total
2009,55,59,Female,Concord,3777,Total
2009,55,59,Female,Danville,1442,Total
2009,55,59,Female,El Cerrito,879,Total
2009,55,59,Female,Hercules,886,Total
2009,55,59,Female,Lafayette,1029,Total
2009,55,59,Female,Martinez,1520,Total
2009,55,59,Female,Moraga,518,Total
2009,55,59,Female,Oakley,682,Total
2009,55,59,Female,Orinda,902,Total
2009,55,59,Female,Pinole,598,Total
2009,55,59,Female,Pittsburg,1870,Total
2009,55,59,Female,Pleasant Hill,1195,Total
2009,55,59,Female,Richmond,3344,Total
2009,55,59,Female,San Pablo,630,Total
2009,55,59,Female,San Ramon,1551,Total
2009,55,59,Female,Walnut Creek,2383,Total
2009,60,64,Female,Antioch,1915,Total
2009,60,64,Female,Brentwood,1245,Total
2009,60,64,Female,Clayton,549,Total
2009,60,64,Female,Concord,2977,Total
2009,60,64,Female,Danville,1348,Total
2009,60,64,Female,El Cerrito,795,Total
2009,60,64,Female,Hercules,612,Total
2009,60,64,Female,Lafayette,662,Total
2009,60,64,Female,Martinez,1022,Total
2009,60,64,Female,Moraga,613,Total
2009,60,64,Female,Oakley,535,Total
2009,60,64,Female,Orinda,492,Total
2009,60,64,Female,Pinole,706,Total
2009,60,64,Female,Pittsburg,1116,Total
2009,60,64,Female,Pleasant Hill,931,Total
2009,60,64,Female,Richmond,2396,Total
2009,60,64,Female,San Pablo,579,Total
2009,60,64,Female,San Ramon,1198,Total
2009,60,64,Female,Walnut Creek,2090,Total
2009,65,69,Female,Antioch,1342,Total
2009,65,69,Female,Brentwood,705,Total
2009,65,69,Female,Clayton,184,Total
2009,65,69,Female,Concord,2103,Total
2009,65,69,Female,Danville,686,Total
2009,65,69,Female,El Cerrito,436,Total
2009,65,69,Female,Hercules,312,Total
2009,65,69,Female,Lafayette,701,Total
2009,65,69,Female,Martinez,640,Total
2009,65,69,Female,Moraga,401,Total
2009,65,69,Female,Oakley,293,Total
2009,65,69,Female,Orinda,339,Total
2009,65,69,Female,Pinole,265,Total
2009,65,69,Female,Pittsburg,1071,Total
2009,65,69,Female,Pleasant Hill,694,Total
2009,65,69,Female,Richmond,1560,Total
2009,65,69,Female,San Pablo,411,Total
2009,65,69,Female,San Ramon,773,Total
2009,65,69,Female,Walnut Creek,1682,Total
2009,70,74,Female,Antioch,1159,Total
2009,70,74,Female,Brentwood,729,Total
