county,comName,Ndeaths 2008-2012,Ndeaths 2013-2017,Rate 2008-2012,Rate 2013-2017,Percent Change,pValue,Community 13-17 Compared to State 15-17
Los Angeles,Compton East,104,103,20.94,20.37,-2.722063037249285,0.4229321984130119,Higher
Los Angeles,Country Club Park/Koreatown/Mid-City East,43,29,6.135,4.176,-31.931540342298288,0.05666849269690233,No Diff
Los Angeles,Crenshaw/Culver City East/Mid-City South/West Adams,94,82,16.38,14,-14.529914529914524,0.15078973963739473,Higher
Los Angeles,Culver City North/Palms,5,7,1.012,1.093,8.003952569169957,0.44926848488657944,Lower
Los Angeles,Del Aire/Inglewood West/Los Angeles International Airport,29,36,5.398,6.839,26.69507224898112,0.1734495679494774,No Diff
Los Angeles,Desert View Highlands/Lancaster West/Palmdale Northwest/Quartz Hill,30,18,5.568,3.535,-36.512212643678154,0.06343403095823918,Lower
Los Angeles,Diamond Bar/Industry East/Phillips Ranch/Pomona West/Walnut,12,12,1.993,1.828,-8.278976417461115,0.4195006616875171,Lower
Los Angeles,Downey Northeast,23,21,5.552,4.942,-10.987031700288174,0.35053238435884293,No Diff
Los Angeles,Downey Southwest/Lynwood North Central/South Gate East,53,24,10.16,4.729,-53.45472440944882,7.924303541887445e-4,No Diff
Los Angeles,Downtown Southeast/Florence North,87,54,17.19,9.638,-43.9325189063409,5.014939555806341e-4,Higher
Los Angeles,Echo Park/Hollywood North Central/Silverlake South,9,11,2.09,2.848,36.26794258373206,0.26239019495156823,Lower
Los Angeles,El Monte/Five Points,19,37,3.518,6.981,98.43661171119956,0.007205114755730491,No Diff
Los Angeles,El Sereno North/Highland Park/Montecito Heights/Monterey Hills,51,42,7.645,6.668,-12.779594506213204,0.25662838092123463,No Diff
Los Angeles,Elizabeth Lake/Gorman/Green Valley/Lake Hughes/Leona Valley/Neenach,7,4,6.53,3.484,-46.64624808575804,0.15852003326727226,No Diff
Los Angeles,Encino/Tarzana/Warner Center/Woodland Hills,5,6,1.068,1.217,13.951310861423222,0.4170627118545571,Lower
Los Angeles,Exposition Park/Leimert Park,68,63,13.44,11.39,-15.252976190476183,0.18308746929308606,Higher
Los Angeles,Firestone/Florence South/Watts,152,120,21.24,16.85,-20.66854990583803,0.03234704845285552,Higher
Los Angeles,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,26,30,4.65,5.321,14.430107526881706,0.30870933514348553,No Diff
Los Angeles,Gardena West/Hawthorne,34,47,8.276,11.43,38.11019816336394,0.07852500531393414,Higher
Los Angeles,Glassell Park/Glendale Southeast/Silverlake North,21,16,4.391,3.155,-28.14848553860169,0.1632518639760876,Lower
Los Angeles,Glendale Northeast/La Canada-Flintridge/La Crescenta/Montrose/Sunland/Tujunga/Verdugo City,10,16,1.851,2.638,42.51755807671528,0.19388521887390997,Lower
Los Angeles,Granada Hills/Mission Hills/Porter Ranch,6,12,1.303,2.538,94.78127398311588,0.09238146295680316,Lower
Los Angeles,Hacienda Heights/Industry Central,11,20,2.316,3.931,69.7322970639033,0.07927209745494712,No Diff
Los Angeles,Hancock Park/Mid-City West/Park La Brea,22,11,3.186,1.629,-48.87005649717514,0.03600282166420421,Lower
Los Angeles,Harbor Gateway South/Lomita/Torrance East Central,33,26,5.9,4.716,-20.067796610169495,0.19671966831943877,No Diff
Los Angeles,Hermosa Beach/Lawndale North/Manhattan Beach/Redondo Beach North,15,5,3.32,1.121,-66.23493975903614,0.014905933498189472,Lower
Los Angeles,Hollywood Hills/Hollywood West/Mount Olympus/West Hollywood,13,14,2.354,2.272,-3.4834324553950844,0.46603425307439217,Lower
Los Angeles,Hollywood South Central/Inner Sunset,38,18,6.248,2.905,-53.505121638924464,0.003914031304815935,Lower
Los Angeles,Huntington Park/South Gate West/Walnut Park,38,28,6.728,5.234,-22.20570749108204,0.16435639555747972,No Diff
Los Angeles,Inglewood East/Lennox,53,53,12.5,12.99,3.9200000000000017,0.4220701014737588,Higher
Los Angeles,Juniper Hills/Littlerock/Longview/Pearblossom/Valyermo,NA,6,NA,6.269,NA,NA,No Diff
Los Angeles,La Habra Heights/Whittier,23,12,5.121,2.822,-44.893575473540324,0.04442981227108822,Lower
Los Angeles,La Mirada/Santa Fe Springs South,10,13,1.901,2.722,43.18779589689637,0.20300978951829385,Lower
Los Angeles,Lake Los Angeles,11,13,10.94,14.01,28.062157221206583,0.27794679620999174,Higher
Los Angeles,Lancaster Central/Palmdale North Central,44,49,7.919,9.115,15.102917034979173,0.2521425896487888,Higher
Los Angeles,Long Beach Port/San Pedro East/Wilmington,76,47,12.36,8.128,-34.239482200647245,0.011718631105122834,Higher
Los Angeles,Long Beach West Central,69,71,11.43,11.47,0.3499562554680746,0.49203365905670393,Higher
Los Angeles,Los Nietos/Santa Fe Springs Northeast,25,17,5.546,3.742,-32.527948070681575,0.10604892724022585,Lower
Los Angeles,Mar Vista/Ocean Park/Santa Monica South/Venice,21,17,5.409,3.943,-27.102976520613787,0.1741249119201943,No Diff
Los Angeles,Miraleste/Palo Verdes Estates/Portuguese Bend/Rancho Palos Verdes/Rolling Hills/San Pedro West,20,9,4.083,1.571,-61.523389664462414,0.011775354535237925,Lower
Los Angeles,Montebello North/Monterey Park/South San Gabriel,24,10,5.974,2.119,-64.52962838968865,0.0032729333416045003,Lower
Los Angeles,Newhall/Santa Clarita East/Valencia,14,19,2.307,3.072,33.15994798439532,0.20757403287647513,Lower
Los Angeles,North Hills/Northridge North,21,21,3.426,3.381,-1.3134851138353874,0.4831825987503021,Lower
Los Angeles,North Hollywood Central and North,24,27,4.48,5.077,13.325892857142845,0.330270357644892,No Diff
