"","year","GEOID","sex","raceName","lAge","population","deaths","life_expectancy","LE_lci","LE_uci"
"122",2017,"6019","FEMALE","Total",50,142004.224428179,546,34.0669044120298,33.8815594265776,34.2522493974821
"123",2017,"6019","FEMALE","White",0,8186.3806075,32,81.0051918819659,80.6940002390849,81.3163835248469
"124",2017,"6019","FEMALE","White",50,52036.112281,226,33.1277099520139,32.8909687410063,33.3644511630216
"125",2017,"6019","MALE","Asian",0,3888.10201964,21,78.9779828360432,78.2538911414698,79.7020745306166
"126",2017,"6019","MALE","Asian",50,12288.56354046,58,31.7233051561807,31.065437802959,32.3811725094024
"127",2017,"6019","MALE","Black",0,2021.35873519,20,70.8009032113446,69.8383509575358,71.7634554651534
"128",2017,"6019","MALE","Black",50,7646.36134239,85,26.3725741706945,25.5877202641163,27.1574280772726
"129",2017,"6019","MALE","Latino",0,25909.6421588,149,78.6186934622079,78.2258888852568,79.0114980391591
"130",2017,"6019","MALE","Latino",50,68309.6599492,423,31.8790172890708,31.4999006130155,32.2581339651262
"131",2017,"6019","MALE","Total",0,41943.0904811478,254,76.7141975385536,76.5054250601854,76.9229700169217
"132",2017,"6019","MALE","Total",50,141559.835516902,908,30.1285028326617,29.9519127214596,30.3050929438638
"133",2017,"6019","MALE","White",0,8502.8132531,56,75.9767738912348,75.6415493960228,76.3119983864467
"134",2017,"6019","MALE","White",50,50179.9590842,321,29.2682033947912,29.0355269006654,29.500879888917
"135",2017,"6019","TOTAL","Asian",0,7617.48744698,51,81.6988136357876,81.16829119663,82.2293360749451
"136",2017,"6019","TOTAL","Asian",50,25484.45115383,90,34.0047986026209,33.5186165144668,34.4909806907749
"137",2017,"6019","TOTAL","Black",0,3974.84249698,42,73.2181065537604,72.499685042934,73.9365280645868
"138",2017,"6019","TOTAL","Black",50,14940.34673975,137,28.2578435292487,27.6545966073914,28.861090451106
"139",2017,"6019","TOTAL","Latino",0,50833.0120943,277,81.4454006112578,81.1464707589025,81.744330463613
"140",2017,"6019","TOTAL","Latino",50,134480.8864856,645,34.0785163218897,33.7871526972114,34.3698799465679
"141",2017,"6019","TOTAL","Total",0,82293.9940607276,470,79.2908247475938,79.1409140698671,79.4407354253204
"142",2017,"6019","TOTAL","Total",50,283564.059945081,1454,32.1249787937552,31.9954328296713,32.2545247578391
"143",2017,"6019","TOTAL","White",0,16689.1938606,88,78.3922043658353,78.1567990915744,78.6276096400961
"144",2017,"6019","TOTAL","White",50,102216.0713652,547,31.2416475118081,31.0734698864334,31.4098251371828
"145",2017,"6021","TOTAL","Total",0,2105.1288888178,11,79.4623573437438,78.6691343347284,80.2555803527593
"146",2017,"6021","TOTAL","Total",50,8937.0520156952,45,32.0382087539649,31.3929865421454,32.6834309657844
"147",2017,"6021","TOTAL","White",0,785.45851831,6,77.7536826401297,76.713056440539,78.7943088397203
"148",2017,"6021","TOTAL","White",50,5126.540777871,33,30.6416274906514,29.936386148519,31.3468688327839
"149",2017,"6023","FEMALE","Total",0,3487.8518146396,22,80.5903754070708,80.0312447541722,81.1495060599694
"150",2017,"6023","FEMALE","Total",50,18948.8019804204,105,33.3686390023723,32.9155340959135,33.8217439088311
"151",2017,"6023","FEMALE","White",0,2153.68336197,9,80.8741946749723,80.2870790744689,81.4613102754757
"152",2017,"6023","FEMALE","White",50,15017.57206324,88,33.1404982761524,32.6699467940708,33.6110497582341
"153",2017,"6023","MALE","Total",0,3629.1367038946,19,75.4457758784524,74.9124374448092,75.9791143120956
"154",2017,"6023","MALE","Total",50,19087.9852246601,161,29.3134447515538,28.8997183503678,29.7271711527397
"155",2017,"6023","MALE","White",0,2241.22077432,0,75.8731523274898,75.3306693771148,76.4156352778649
"156",2017,"6023","MALE","White",50,15368.76197435,119,29.1365578270886,28.7114633056509,29.5616523485263
"157",2017,"6023","TOTAL","Total",0,7116.9885185342,41,77.7513895798144,77.3542300722165,78.1485490874122
"158",2017,"6023","TOTAL","Total",50,38036.7872050805,266,31.3336805189643,31.0242240466723,31.6431369912562
"159",2017,"6023","TOTAL","White",0,4394.90413629,16,78.051650146376,77.6337251689588,78.4695751237931
"160",2017,"6023","TOTAL","White",50,30386.33403759,207,31.1374419113482,30.8173906728497,31.4574931498467
"161",2017,"6025","FEMALE","Latino",0,7037.6964893,24,87.1545463792498,86.4186725654554,87.8904201930441
"162",2017,"6025","FEMALE","Latino",50,23957.47119308,56,38.7836866440421,38.0712018226583,39.4961714654258
"163",2017,"6025","FEMALE","Total",0,7769.0794911723,26,87.0106767752505,86.3603314985817,87.6610220519193
"164",2017,"6025","FEMALE","Total",50,28674.6910818741,77,38.724278570141,38.1005946107214,39.3479625295606
"165",2017,"6025","MALE","Latino",0,7314.5260281,27,80.977420617592,80.3083384994014,81.6465027357827
"166",2017,"6025","MALE","Latino",50,21095.56768737,111,33.4306960367145,32.7911320761905,34.0702599972385
"167",2017,"6025","MALE","Total",0,8063.7482550662,28,80.9542011474651,80.3567700303027,81.5516322646274
"168",2017,"6025","MALE","Total",50,27823.3478095251,152,33.4937864903561,32.9228495285858,34.0647234521264
"169",2017,"6025","MALE","White",0,550.870169745,0,79.3544448871317,78.0605890506941,80.6483007235692
"170",2017,"6025","MALE","White",50,4445.20142812,32,31.7793369272655,30.5889609324528,32.9697129220783
"171",2017,"6025","TOTAL","Latino",0,14352.2225174,51,84.0618647857956,83.5605558724491,84.5631736991422
"172",2017,"6025","TOTAL","Latino",50,45053.03888045,167,36.2188584798348,35.7376069017779,36.7001100578918
"173",2017,"6025","TOTAL","Total",0,15832.8277462385,54,83.8713500168494,83.4255162859175,84.3171837477814
"174",2017,"6025","TOTAL","Total",50,56498.0388913992,229,36.1331044118118,35.7076888270092,36.5585199966144
"175",2017,"6025","TOTAL","White",0,1084.86092067,0,81.86515412216,80.9004176325559,82.8298906117641
"176",2017,"6025","TOTAL","White",50,7918.82382424,49,34.0301172179549,33.1563461630625,34.9038882728472
"177",2017,"6027","TOTAL","Total",0,935.6766821624,0,84.6302681947463,83.6628800037898,85.5976563857029
"178",2017,"6027","TOTAL","Total",50,6144.7220350094,10,35.9690123850046,35.082413700571,36.8556110694382
"179",2017,"6029","FEMALE","Black",0,1825.21252176,21,75.2809996368406,74.1746795341852,76.387319739496
"180",2017,"6029","FEMALE","Black",50,6503.0192367,61,29.4083704824744,28.4590504092624,30.3576905556864
"181",2017,"6029","FEMALE","Latino",0,23085.6255154,126,83.8501902864541,83.308545754152,84.3918348187562
"182",2017,"6029","FEMALE","Latino",50,56787.9119492,211,35.8788304450708,35.3402406817542,36.4174202083874
"183",2017,"6029","FEMALE","Total",0,37299.2642816524,192,80.8824819310182,80.6472210021966,81.1177428598398
"184",2017,"6029","FEMALE","Total",50,127511.374697935,640,33.2098748809628,32.998541396688,33.4212083652376
"185",2017,"6029","FEMALE","White",0,9886.8857492,36,79.5487218947451,79.2243872759814,79.8730565135088
"186",2017,"6029","FEMALE","White",50,53672.1302677,332,32.0377495449323,31.778990593676,32.2965084961886
"187",2017,"6029","MALE","Black",0,1878.77172751,15,72.7004225830016,71.6375304669588,73.7633146990445
"188",2017,"6029","MALE","Black",50,7877.37149939,71,27.1612465723997,26.1538303507194,28.1686627940801
"189",2017,"6029","MALE","Latino",0,24036.6621441,115,79.308924487277,78.8236874120694,79.7941615624847
"190",2017,"6029","MALE","Latino",50,65095.6237019,358,32.7346545579902,32.2499554120993,33.2193537038811
"191",2017,"6029","MALE","Total",0,38802.1829971644,193,75.9249811017598,75.7017643428654,76.1481978606542
"192",2017,"6029","MALE","Total",50,137663.540567501,927,29.5688032184764,29.374464332786,29.7631421041667
"193",2017,"6029","MALE","White",0,10283.0021908,45,74.2233073370301,73.9024964565751,74.5441182174851
"194",2017,"6029","MALE","White",50,55774.8012004,449,28.0594131599677,27.8240330137918,28.2947933061436
"195",2017,"6029","TOTAL","Asian",0,2196.86994037,13,84.6691146082228,83.6911731725197,85.6470560439259
"196",2017,"6029","TOTAL","Asian",50,13338.41739025,48,36.2899862958138,35.3661091473882,37.2138634442393
"197",2017,"6029","TOTAL","Black",0,3703.98424927,36,73.6904905622934,72.9343178971168,74.4466632274701
"198",2017,"6029","TOTAL","Black",50,14380.39073609,132,28.2028448964297,27.5284369533913,28.8772528394681
"199",2017,"6029","TOTAL","Latino",0,47122.2876595,241,81.4486155994085,81.0838861968559,81.8133450019612
"200",2017,"6029","TOTAL","Latino",50,121883.5356511,569,34.2925487685381,33.9289967151061,34.6561008219701
"201",2017,"6029","TOTAL","Total",0,76101.4472788168,385,78.3072234361509,78.1432503151315,78.4711965571703
"202",2017,"6029","TOTAL","Total",50,265174.915265435,1567,31.3824249892625,31.2375465340105,31.5273034445145
"203",2017,"6029","TOTAL","White",0,20169.88794,81,76.745899804292,76.5136378857618,76.9781617228223
"204",2017,"6029","TOTAL","White",50,109446.9314681,781,30.0292678805652,29.8525733669285,30.2059623942018
"205",2017,"6031","FEMALE","Total",0,5863.2500784172,22,82.3218347704394,81.6944798918351,82.9491896490436
