  Year          Age             Female            Male           Total
1955-1959        7             0.000396        0.000562        0.000480
1955-1959        8             0.000342        0.000521        0.000433
1955-1959        9             0.000325        0.000502        0.000415
1955-1959       10             0.000308        0.000486        0.000399
1955-1959       11             0.000313        0.000499        0.000408
1955-1959       12             0.000335        0.000552        0.000445
1955-1959       13             0.000352        0.000638        0.000497
1955-1959       14             0.000393        0.000754        0.000576
1955-1959       15             0.000466        0.000956        0.000713
1955-1959       16             0.000533        0.001178        0.000859
1955-1959       17             0.000587        0.001366        0.000979
1955-1959       18             0.000631        0.001591        0.001102
1955-1959       19             0.000667        0.001741        0.001190
1955-1959       20             0.000696        0.001876        0.001264
1955-1959       21             0.000702        0.001981        0.001313
1955-1959       22             0.000740        0.002006        0.001344
1955-1959       23             0.000750        0.001922        0.001315
1955-1959       24             0.000794        0.001870        0.001315
1955-1959       25             0.000834        0.001827        0.001318
1955-1959       26             0.000849        0.001726        0.001279
1955-1959       27             0.000872        0.001679        0.001270
1955-1959       28             0.000950        0.001738        0.001337
1955-1959       29             0.001027        0.001813        0.001411
1955-1959       30             0.001094        0.001881        0.001478
1955-1959       31             0.001175        0.001928        0.001544
1955-1959       32             0.001287        0.002061        0.001665
1955-1959       33             0.001353        0.002137        0.001735
1955-1959       34             0.001432        0.002250        0.001831
1955-1959       35             0.001547        0.002422        0.001974
1955-1959       36             0.001672        0.002592        0.002120
1955-1959       37             0.001782        0.002785        0.002272
1955-1959       38             0.002022        0.003156        0.002576
1955-1959       39             0.002214        0.003478        0.002833
1955-1959       40             0.002390        0.003817        0.003089
1955-1959       41             0.002572        0.004113        0.003329
1955-1959       42             0.002846        0.004678        0.003746
1955-1959       43             0.003078        0.005129        0.004086
1955-1959       44             0.003337        0.005631        0.004466
1955-1959       45             0.003640        0.006200        0.004900
1955-1959       46             0.003961        0.006802        0.005361
1955-1959       47             0.004290        0.007512        0.005879
1955-1959       48             0.004658        0.008204        0.006409
1955-1959       49             0.005061        0.009111        0.007063
