ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,GEOID,geotypevalue06,geoname,county,county_fips,region_name,region_code,Poverty,TotalPop,NumPov,percent,LL_95CI_percent,UL_95CI_percent,percent_SE,percent_RSE,place_decile,CA_RR,ConcentratedCT,version_pov
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407300,06001407300,4073.00,Alameda,06001,,,Overall,2552,686.488,26.9,11.7680851,42.0319149,7.7203647,28.7002407,,1.9635036,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407400,06001407400,4074.00,Alameda,06001,,,Overall,4026,1191.696,29.6,18.6382979,40.5617021,5.5927052,18.8942742,,2.1605839,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407500,06001407500,4075.00,Alameda,06001,,,Overall,3551,1139.871,32.1,21.1382979,43.0617021,5.5927052,17.4227575,,2.3430657,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407600,06001407600,4076.00,Alameda,06001,,,Overall,6457,1924.186,29.8,18.2425532,41.3574468,5.8966565,19.787438,,2.1751825,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407700,06001407700,4077.00,Alameda,06001,,,Overall,4407,471.549,10.7,4.1468085,17.2531915,3.343465,31.2473369,,0.7810219,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407800,06001407800,4078.00,Alameda,06001,,,Overall,2773,316.122,11.4,2.2255319,20.5744681,4.6808511,41.0600971,,0.8321168,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001407900,06001407900,4079.00,Alameda,06001,,,Overall,2846,253.294,8.9,2.7042553,15.0957447,3.1610942,35.5179126,,0.649635,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408000,06001408000,4080.00,Alameda,06001,,,Overall,2260,0,0,0,2.1446809,1.0942249,,,0,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408100,06001408100,4081.00,Alameda,06001,,,Overall,5735,160.58,2.8,0.6553191,4.9446809,1.0942249,39.0794616,,0.2043796,no,1/22/2014 12:04
754,"Overall, concentrated, and child (0 to 18 years of age) poverty rate",2006-2010,9,Total,CT,6001408200,06001408200,4082.00,Alameda,06001,,,Overall,4037,415.811,10.3,2.6744681,17.9255319,3.8905775,37.7725972,,0.7518248,no,1/22/2014 12:04
