year,county,Ndeaths,GEOID
2005,Contra Costa,21,6013346203
2005,Contra Costa,21,6013346204
2005,Contra Costa,31,6013347000
2005,Contra Costa,32,6013348000
2005,Contra Costa,38,6013349000
2005,Contra Costa,34,6013350000
2005,Contra Costa,121,6013351101
2005,Contra Costa,172,6013351102
2005,Contra Costa,64,6013351103
2005,Contra Costa,39,6013351200
2005,Contra Costa,7,6013352101
2005,Contra Costa,20,6013352102
2005,Contra Costa,42,6013352201
2005,Contra Costa,45,6013352202
2005,Contra Costa,14,6013353001
2005,Contra Costa,29,6013353002
2005,Contra Costa,10,6013354001
2005,Contra Costa,64,6013354002
2005,Contra Costa,52,6013355107
2005,Contra Costa,42,6013355108
2005,Contra Costa,37,6013355109
2005,Contra Costa,6,6013355110
2005,Contra Costa,22,6013355111
2005,Alameda,2,6013355112
2005,Contra Costa,19,6013355112
2005,Contra Costa,7,6013355113
2005,Contra Costa,34,6013355114
2005,Contra Costa,1,6013355115
2005,Contra Costa,4,6013355116
2005,Contra Costa,3,6013355117
2005,Contra Costa,18,6013355200
2005,Contra Costa,36,6013355301
2005,Contra Costa,16,6013355302
2005,Contra Costa,42,6013355304
2005,Contra Costa,25,6013355306
2005,Contra Costa,13,6013356001
2005,Contra Costa,26,6013356002
2005,Contra Costa,35,6013357000
2005,Contra Costa,43,6013358000
2005,Contra Costa,35,6013359102
2005,Contra Costa,45,6013359103
2005,Contra Costa,9,6013359104
2005,Contra Costa,13,6013359105
2005,Contra Costa,57,6013359202
2005,Contra Costa,43,6013359203
2005,Contra Costa,24,6013359204
2005,Contra Costa,46,6013360101
2005,Contra Costa,21,6013360102
2005,Contra Costa,35,6013360200
2005,Contra Costa,36,6013361000
2005,Contra Costa,22,6013362000
2005,Contra Costa,52,6013363000
2005,Contra Costa,40,6013364002
2005,Contra Costa,27,6013365002
2005,Contra Costa,22,6013365003
2005,Contra Costa,31,6013366001
2005,Contra Costa,39,6013366002
2005,Contra Costa,51,6013367100
2005,Contra Costa,14,6013367200
2005,Contra Costa,13,6013368001
2005,Contra Costa,16,6013368002
2005,Contra Costa,93,6013369001
2005,Contra Costa,24,6013369002
2005,NA,1,6013369002
2005,Contra Costa,27,6013370000
2005,Contra Costa,33,6013371000
2005,Contra Costa,48,6013372000
2005,Contra Costa,33,6013373000
2005,Contra Costa,36,6013374000
2005,Contra Costa,18,6013375000
2005,Contra Costa,50,6013376000
2005,Contra Costa,35,6013377000
2005,Contra Costa,25,6013378000
2005,Contra Costa,66,6013379000
2005,Contra Costa,11,6013380000
2005,Contra Costa,59,6013381000
2005,Contra Costa,57,6013382000
2005,Contra Costa,34,6013383000
2005,Contra Costa,38,6013384000
2005,Contra Costa,27,6013385100
2005,Contra Costa,14,6013385200
2005,Contra Costa,21,6013386000
2005,Contra Costa,24,6013387000
2005,Contra Costa,24,6013388000
2005,Contra Costa,15,6013389100
2005,Contra Costa,3,6013389200
2005,Contra Costa,21,6013390100
2005,Contra Costa,15,6013390200
