comID,yearG,sex,CAUSE,Ndeaths,YLL,mean.age,Level,county,pop,YLLper,cDeathRate,rateLCI,rateUCI,comName,oDeaths,aRate,aLCI,aUCI,aSE,YLL.adj.rate
160,2013-2017,Total,E02,42,1136,49.07,lev2,San Diego,89910,252.7,9.342,6.517,12.17,Bonsall/Camp Pendleton/Fallbrook/Live Oak Park/Rainbow/San Luis Rey Heights/Winterwarm,42,10.98,7.673,15.43,1.841,261.9
161a,2013-2017,Total,0,4525,26120,77.23,lev0,San Diego,151700,3444,596.6,579.2,614,Clairemont/Fiesta Shores/Linda Vista/Mission Beach/Sorrento/University City,4525,524.3,508.9,540.2,7.915,3544
161a,2013-2017,Total,D01,76,352,77.34,lev2,San Diego,151700,46.41,10.02,7.767,12.27,Clairemont/Fiesta Shores/Linda Vista/Mission Beach/Sorrento/University City,76,8.982,7.058,11.42,1.041,46.3
161a,2013-2017,Total,D10,68,294,77.43,lev2,San Diego,151700,38.76,8.965,6.834,11.1,Clairemont/Fiesta Shores/Linda Vista/Mission Beach/Sorrento/University City,68,8.167,6.324,10.53,1.001,40.32
161a,2013-2017,Total,E02,109,2589,52.6,lev2,San Diego,151700,341.3,14.37,11.67,17.07,Clairemont/Fiesta Shores/Linda Vista/Mission Beach/Sorrento/University City,109,13.98,11.42,17.07,1.373,331.4
161a,2013-2017,Total,E03,16,521,43.25,lev2,San Diego,151700,68.69,2.109,1.076,3.143,Clairemont/Fiesta Shores/Linda Vista/Mission Beach/Sorrento/University City,16,1.969,1.108,3.42,0.5047,62.17
161b,2013-2017,Total,0,3417,24460,75.07,lev0,San Diego,104500,4682,654,632,675.9,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa,3417,609.4,588.7,630.8,10.63,4500
161b,2013-2017,Total,D01,57,302,77.19,lev2,San Diego,104500,57.8,10.91,8.077,13.74,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa,57,9.729,7.338,13,1.307,52.51
161b,2013-2017,Total,D10,43,268,76.16,lev2,San Diego,104500,51.29,8.23,5.77,10.69,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa,43,7.435,5.352,10.42,1.151,49.17
161b,2013-2017,Total,E02,80,2173,48.64,lev2,San Diego,104500,415.9,15.31,11.96,18.67,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa,80,14.09,11.08,17.99,1.632,374.1
161b,2013-2017,Total,E03,14,597,32.64,lev2,San Diego,104500,114.3,2.679,1.276,4.083,Bay Park/Five Points/Hillcrest Northwest/Mission Hills/Mission Valley/Morena/Normal Heights/Old Town/Serra Mesa,14,2.537,1.354,4.743,0.7014,108.1
161c,2013-2017,Total,0,2282,27400,66.72,lev0,San Diego,92640,5916,492.7,472.4,512.9,Downtown/Golden Hill/Logan Heights,2282,630.9,604.3,658.5,13.72,6294
161c,2013-2017,Total,D01,65,815,66.29,lev2,San Diego,92640,175.9,14.03,10.62,17.44,Downtown/Golden Hill/Logan Heights,65,17.55,13.41,22.74,2.255,187.3
161c,2013-2017,Total,D10,56,461,71.14,lev2,San Diego,92640,99.52,12.09,8.923,15.26,Downtown/Golden Hill/Logan Heights,56,17.1,12.78,22.54,2.366,113.1
161c,2013-2017,Total,E02,69,2263,42.67,lev2,San Diego,92640,488.6,14.9,11.38,18.41,Downtown/Golden Hill/Logan Heights,69,14.69,11.25,19.12,1.879,415.6
161c,2013-2017,Total,E03,28,790,47.29,lev2,San Diego,92640,170.6,6.045,3.806,8.284,Downtown/Golden Hill/Logan Heights,28,6.364,4.145,9.625,1.256,156.4
161d,2013-2017,Total,0,2388,25880,68.7,lev0,San Diego,101100,5118,472.2,453.3,491.2,Chollas Creek/City Heights/East San Diego/North Park/Oak Park/South Park,2388,666.8,639.5,695.1,14.1,5188
161d,2013-2017,Total,D01,50,339,72.56,lev2,San Diego,101100,67.04,9.887,7.147,12.63,Chollas Creek/City Heights/East San Diego/North Park/Oak Park/South Park,50,14.24,10.47,19.01,2.074,71.56
161d,2013-2017,Total,D10,67,567,70.22,lev2,San Diego,101100,112.1,13.25,10.08,16.42,Chollas Creek/City Heights/East San Diego/North Park/Oak Park/South Park,67,19.08,14.66,24.48,2.402,121
161d,2013-2017,Total,E02,56,1732,44.61,lev2,San Diego,101100,342.5,11.07,8.173,13.97,Chollas Creek/City Heights/East San Diego/North Park/Oak Park/South Park,56,11.42,8.518,15.19,1.592,313.6
161d,2013-2017,Total,E03,24,941,35.79,lev2,San Diego,101100,186.1,4.746,2.847,6.645,Chollas Creek/City Heights/East San Diego/North Park/Oak Park/South Park,24,4.696,2.984,7.29,0.9747,175.8
161e,2013-2017,Total,0,2959,22060,74.64,lev0,San Diego,96580,4569,612.7,590.7,634.8,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,2959,735.9,708.9,764,13.92,4578
161e,2013-2017,Total,D01,51,311,73.92,lev2,San Diego,96580,64.4,10.56,7.663,13.46,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,51,12.39,9.15,16.87,1.781,64.23
161e,2013-2017,Total,D10,48,213,77.92,lev2,San Diego,96580,44.11,9.94,7.128,12.75,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,48,11.94,8.726,16.41,1.771,41.32
161e,2013-2017,Total,E02,82,2125,50.05,lev2,San Diego,96580,440,16.98,13.31,20.66,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,82,16.85,13.26,21.6,1.943,374
161e,2013-2017,Total,E03,13,457,40.46,lev2,San Diego,96580,94.64,2.692,1.229,4.155,College Heights/Hillcrest Southeast/Kensington/Rolando North/University Heights,13,2.606,1.331,5.288,0.7636,80.81
161f,2013-2017,Total,0,3403,22910,76.07,lev0,San Diego,85430,5364,796.7,769.9,823.5,La Mesa/Rolando South,3403,696,671.8,721,12.45,5185
161f,2013-2017,Total,D01,81,344,77.06,lev2,San Diego,85430,80.54,18.96,14.83,23.09,La Mesa/Rolando South,81,17.8,14.01,22.39,2.047,78.12
161f,2013-2017,Total,D10,56,274,75.95,lev2,San Diego,85430,64.15,13.11,9.677,16.54,La Mesa/Rolando South,56,12.43,9.294,16.39,1.72,56.27
161f,2013-2017,Total,E02,54,1463,48.98,lev2,San Diego,85430,342.5,12.64,9.27,16.01,La Mesa/Rolando South,54,12.13,9.028,16.04,1.698,318.1
161f,2013-2017,Total,E03,11,433,37.18,lev2,San Diego,85430,101.4,2.575,1.053,4.097,La Mesa/Rolando South,11,2.194,1.082,4.154,0.6715,89.1
