GEOID,COUNTYFP,ALAND,AWATER,GEOID_0,county
6013352202,13,13798827,0,06013352202,Contra Costa
6013353001,13,13725520,0,06013353001,Contra Costa
6013354002,13,14558920,38563,06013354002,Contra Costa
6013351103,13,3013886,0,06013351103,Contra Costa
6013355109,13,3061543,0,06013355109,Contra Costa
6013355112,13,260768919,112307,06013355112,Contra Costa
6013355113,13,5339429,0,06013355113,Contra Costa
6013355200,13,30425574,785,06013355200,Contra Costa
6013355302,13,7394552,0,06013355302,Contra Costa
6013355107,13,82090417,362491,06013355107,Contra Costa
6013308001,13,3675876,0,06013308001,Contra Costa
6013313102,13,1993613,0,06013313102,Contra Costa
6013313206,13,1728163,0,06013313206,Contra Costa
6013314104,13,2323126,0,06013314104,Contra Costa
6013321101,13,4320373,0,06013321101,Contra Costa
6013307205,13,3082314,0,06013307205,Contra Costa
6013310000,13,1982991,0,06013310000,Contra Costa
6013311000,13,1623110,0,06013311000,Contra Costa
6013313101,13,3584292,0,06013313101,Contra Costa
6013313203,13,3090757,0,06013313203,Contra Costa
6013314102,13,4883012,643498,06013314102,Contra Costa
6013314103,13,6026412,1213332,06013314103,Contra Costa
6013314200,13,5081652,4893337,06013314200,Contra Costa
6013319000,13,3130969,0,06013319000,Contra Costa
6013320003,13,1245307,0,06013320003,Contra Costa
6013320004,13,7162348,0,06013320004,Contra Costa
6013321200,13,2309793,0,06013321200,Contra Costa
6013325000,13,2937757,0,06013325000,Contra Costa
6013326000,13,2404771,0,06013326000,Contra Costa
6013331000,13,2819834,0,06013331000,Contra Costa
6013334006,13,1734957,0,06013334006,Contra Costa
6013335000,13,1774584,0,06013335000,Contra Costa
6013336201,13,1242067,0,06013336201,Contra Costa
6013337200,13,3193688,0,06013337200,Contra Costa
6013343002,13,3411814,15373,06013343002,Contra Costa
6013303102,13,6507015,0,06013303102,Contra Costa
6013303103,13,33618863,38528,06013303103,Contra Costa
6013303205,13,13748526,0,06013303205,Contra Costa
6013304004,13,2667549,1121981,06013304004,Contra Costa
6013304005,13,45643972,2375034,06013304005,Contra Costa
6013306004,13,1665853,73543,06013306004,Contra Costa
6013307101,13,2163525,0,06013307101,Contra Costa
6013307201,13,1552278,0,06013307201,Contra Costa
6013345111,13,2313874,0,06013345111,Contra Costa
6013345113,13,5373069,0,06013345113,Contra Costa
6013345114,13,5685937,0,06013345114,Contra Costa
6013345203,13,25763327,0,06013345203,Contra Costa
6013346102,13,20485255,0,06013346102,Contra Costa
