OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790141323905|06001404600|Census Tract 4046|4877912|0|G5020|S|20740141323905|06001404600|Census Tract 4046|4909617|0|G5020|S|4843238|0
20790141323905|06001404600|Census Tract 4046|4877912|0|G5020|S|207403717159023|06001430102|Census Tract 4301.02|76807981|3519002|G5020|S|6590|0
20790141323905|06001404600|Census Tract 4046|4877912|0|G5020|S|20740146183196|06013352202|Census Tract 3522.02|13721679|0|G5020|S|4066|0
20790141324046|06001404700|Census Tract 4047|1195709|0|G5020|S|20740141324046|06001404700|Census Tract 4047|1205968|0|G5020|S|1195709|0
20790141324056|06001404800|Census Tract 4048|628405|0|G5020|S|20740141324056|06001404800|Census Tract 4048|628405|0|G5020|S|628405|0
20790141324045|06001404900|Census Tract 4049|1011185|0|G5020|S|20740141324045|06001404900|Census Tract 4049|1011875|0|G5020|S|1011185|0
20790141324092|06001405000|Census Tract 4050|800679|0|G5020|S|20740141324092|06001405000|Census Tract 4050|807251|0|G5020|S|800378|0
20790141324092|06001405000|Census Tract 4050|800679|0|G5020|S|20740141323973|06001405200|Census Tract 4052|858119|0|G5020|S|301|0
20790141324024|06001405100|Census Tract 4051|1256520|0|G5020|S|20740141324024|06001405100|Census Tract 4051|1260410|0|G5020|S|1256520|0
20790141323973|06001405200|Census Tract 4052|857818|0|G5020|S|20740141323973|06001405200|Census Tract 4052|858119|0|G5020|S|857818|0
207903717158358|06001405301|Census Tract 4053.01|227753|0|G5020|S|207403717158358|06001405301|Census Tract 4053.01|227753|0|G5020|S|227753|0
207903717158359|06001405302|Census Tract 4053.02|205566|0|G5020|S|207403717158359|06001405302|Census Tract 4053.02|205566|0|G5020|S|205566|0
207903717158360|06001405401|Census Tract 4054.01|313930|0|G5020|S|207403717158360|06001405401|Census Tract 4054.01|313930|0|G5020|S|313930|0
207903717158369|06001405402|Census Tract 4054.02|285369|0|G5020|S|207403717158369|06001405402|Census Tract 4054.02|285369|0|G5020|S|285369|0
20790141323826|06001405500|Census Tract 4055|411721|0|G5020|S|20740141323826|06001405500|Census Tract 4055|411721|0|G5020|S|411721|0
20790141324052|06001405600|Census Tract 4056|428774|0|G5020|S|20740141324052|06001405600|Census Tract 4056|428774|0|G5020|S|428774|0
20790141324054|06001405700|Census Tract 4057|546860|0|G5020|S|20740141324054|06001405700|Census Tract 4057|546860|0|G5020|S|546860|0
20790141324100|06001405800|Census Tract 4058|519053|0|G5020|S|20740141324100|06001405800|Census Tract 4058|519053|0|G5020|S|519053|0
207903717158388|06001405901|Census Tract 4059.01|452598|0|G5020|S|207403717158388|06001405901|Census Tract 4059.01|452598|0|G5020|S|452598|0
207903717158688|06001405902|Census Tract 4059.02|487280|0|G5020|S|207403717158688|06001405902|Census Tract 4059.02|487280|0|G5020|S|487280|0
20790141323997|06001406000|Census Tract 4060|2113649|525188|G5020|S|20740141323811|06001403300|Census Tract 4033|916627|96764|G5020|S|790|0
20790141323997|06001406000|Census Tract 4060|2113649|525188|G5020|S|20740141323997|06001406000|Census Tract 4060|2113201|589438|G5020|S|2112859|493721
20790141323997|06001406000|Census Tract 4060|2113649|525188|G5020|S|20740141323822|06001427300|Census Tract 4273|1953880|845334|G5020|S|0|31467
20790141324037|06001406100|Census Tract 4061|1844041|74875|G5020|S|20740141323997|06001406000|Census Tract 4060|2113201|589438|G5020|S|342|0
20790141324037|06001406100|Census Tract 4061|1844041|74875|G5020|S|20740141324037|06001406100|Census Tract 4061|1843699|110767|G5020|S|1843699|74875
20790141324042|06001406201|Census Tract 4062.01|408064|0|G5020|S|20740141324042|06001406201|Census Tract 4062.01|408064|0|G5020|S|408064|0
20790141324057|06001406202|Census Tract 4062.02|392183|0|G5020|S|20740141324057|06001406202|Census Tract 4062.02|392183|0|G5020|S|392183|0
20790141324058|06001406300|Census Tract 4063|485715|0|G5020|S|20740141324058|06001406300|Census Tract 4063|485715|0|G5020|S|485715|0
20790141324055|06001406400|Census Tract 4064|487979|77534|G5020|S|20740141324055|06001406400|Census Tract 4064|487979|77534|G5020|S|487979|77534
20790141323983|06001406500|Census Tract 4065|745016|0|G5020|S|20740141323983|06001406500|Census Tract 4065|745016|0|G5020|S|745016|0
207903717158396|06001406601|Census Tract 4066.01|747403|0|G5020|S|207403717158396|06001406601|Census Tract 4066.01|747403|0|G5020|S|747403|0
207903717158414|06001406602|Census Tract 4066.02|414724|0|G5020|S|207403717158414|06001406602|Census Tract 4066.02|414724|0|G5020|S|414724|0
20790141324103|06001406700|Census Tract 4067|1683727|0|G5020|S|20740141324103|06001406700|Census Tract 4067|1683727|0|G5020|S|1683727|0
20790141324062|06001406800|Census Tract 4068|912527|0|G5020|S|20740141324062|06001406800|Census Tract 4068|912527|0|G5020|S|912527|0
20790141324064|06001406900|Census Tract 4069|873127|0|G5020|S|20740141324064|06001406900|Census Tract 4069|873127|0|G5020|S|873127|0
20790141324059|06001407000|Census Tract 4070|862936|0|G5020|S|20740141324059|06001407000|Census Tract 4070|862936|0|G5020|S|862936|0
207903717158418|06001407101|Census Tract 4071.01|370826|0|G5020|S|207403717158418|06001407101|Census Tract 4071.01|370826|0|G5020|S|370826|0
207903717158425|06001407102|Census Tract 4071.02|660864|0|G5020|S|207403717158425|06001407102|Census Tract 4071.02|660864|0|G5020|S|660864|0
20790141324007|06001407200|Census Tract 4072|715071|0|G5020|S|20740141324007|06001407200|Census Tract 4072|715071|0|G5020|S|715071|0
20790141323847|06001407300|Census Tract 4073|2370917|209253|G5020|S|20740141323847|06001407300|Census Tract 4073|2370917|239048|G5020|S|2370917|209253
20790141324066|06001407400|Census Tract 4074|511491|0|G5020|S|20740141324066|06001407400|Census Tract 4074|511491|0|G5020|S|511491|0
20790141323797|06001407500|Census Tract 4075|494502|0|G5020|S|20740141323797|06001407500|Census Tract 4075|494502|0|G5020|S|494502|0
20790141324060|06001407600|Census Tract 4076|1022710|0|G5020|S|20740141324060|06001407600|Census Tract 4076|1022710|0|G5020|S|1022710|0
