MSSA_ID,changeCode,changeSystem,adjustedID,adjustedID2,adjustedMSSA_NAME,CNTY_FIPS,COUNTY,MSSA_NAME,DEFINITION,POPDENSITY,AREA_SQMI,POP,POP_CIV
116k,0,116k,116k,116k,Brea West/Fullerton North/La Habra,59,Orange,Brea West/Fullerton North/La Habra,Urban,5775.293403,18.756276,108323,108065
116l,0,116l,116l,116l,Anaheim Central,59,Orange,Anaheim Central,Urban,10933.79146,8.826306,96505,95224
116m,0,116m,116m,116m,Brea East/Placentia Central and North/Yorba Linda,59,Orange,Brea East/Placentia Central and North/Yorba Linda,Urban,2799.803992,48.139084,134780,134667
116n,0,116n,116n,116n,Anaheim Hills/City of Orange East/Villa Park,59,Orange,Anaheim Hills/City of Orange East/Villa Park,Urban,1823.052051,70.459315,128451,128208
116o,0,116o,116o,116o,Irvine Central/Tustin East,59,Orange,Irvine Central/Tustin East,Urban,6534.142586,13.21122,86324,86324
116p,0,116p,116p,116p,Costa Mesa,59,Orange,Costa Mesa,Urban,5558.639445,19.644735,109198,105736
116q,0,116q,116q,116q,Anaheim East/City of Orange North/Placentia Southwest,59,Orange,Anaheim East/City of Orange North/Placentia Southwest,Urban,6255.458532,18.19307,113806,111909
116r,0,116r,116r,116r,Garden Grove North/Stanton,59,Orange,Garden Grove North/Stanton,Urban,10380.28621,12.124232,125853,122309
116s,0,116s,116s,116s,Huntington Beach North/Seal Beach East/Westminster,59,Orange,Huntington Beach North/Seal Beach East/Westminster,Urban,9527.004986,13.064546,124466,123607
116t,0,116t,116t,116t,Huntington Beach South,59,Orange,Huntington Beach South,Urban,6178.38298,13.10796,80986,80961
116u,0,116u,116u,116u,Huntington Beach West/Seal Beach West,59,Orange,Huntington Beach West/Seal Beach West,Urban,3277.210562,26.215282,85913,85542
116v,0,116v,116v,116v,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East,59,Orange,Foothill Ranch/IrvineNortheast/Lake Forest West/Portola Hills/Tustin East,Urban,1824.718577,55.726401,101685,100939
117,2,"117,118,120",118plus,118plus,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista/Colfax/Meadow Vista/Foresthill,61,Placer,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista,Rural,46.841645,249.009186,11664,11664
118,1,"117,118,120",118plus,118plus,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista/Colfax/Meadow Vista/Foresthill,61,Placer,Colfax/Meadow Vista,Rural,133.610129,199.303751,26629,26019
119,0,119,119,119,Auburn/Newcastle/Lincoln/Sheridan,61,Placer,Auburn/Newcastle/Lincoln/Sheridan,Urban,278.599882,293.941258,81892,80845
120,2,"117,118,120",118plus,118plus,Dollar Point/Kings Beach/Sunnyside/Tahoe City/Tahoe Vista/Colfax/Meadow Vista/Foresthill,61,Placer,Foresthill,Frontier,10.733547,566.634664,6082,6082
121.1,0,121.1,121.1,121.1,Roseville,61,Placer,Roseville,Urban,3171.765731,32.700397,103718,102871
121.2,0,121.2,121.2,121.2,Rocklin/Granite Bay,61,Placer,Rocklin/Granite Bay,Urban,1268.551091,83.947742,106492,106100
122,2,"122,123.1,123.2,124,125",124plus,124plus,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain/Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden/Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk/Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton/Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,63,Plumas,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain,Frontier,3.6721,706.407698,2594,2594
123.1,2,"122,123.1,123.2,124,125",124plus,124plus,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain/Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden/Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk/Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton/Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,63,Plumas,Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden,Frontier,10.175636,642.908168,6542,6542
123.2,2,"122,123.1,123.2,124,125",124plus,124plus,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain/Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden/Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk/Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton/Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,63,Plumas,Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk,Rural,14.074128,131.0916,1845,1845
124,1,"122,123.1,123.2,124,125",124plus,124plus,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain/Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden/Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk/Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton/Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,63,Plumas,Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton,Frontier,8.02345,662.807143,5318,5197
125,2,"122,123.1,123.2,124,125",124plus,124plus,Belden/Caribou/Crescent Mills/Genessee/Greenville/Indian Falls/North Arm/Storrie/Taylorsville/Tobin/Twain/Bucks Lake/Cromberg/East Quincy/Greenhorn/Keddie/Laporte/Little Grass Valley/Meadow Valley/Quincy/Sloat/Spring Garden/Blairsden/Clio/C-Road/Gold Mountain/Greagle/Johnsville/Mohawk Meadows/Mohawk Vista/Plumas Eureka/Plumas Pines/Sierra Springs/Valley Ranch/White Hawk/Beckwourth/Chilcoot/Crocker Mountain/Delleker/Iron Horse/Lake Davis/Maybe/Portola/Valley View/Vinton/Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,63,Plumas,Bailey Creek/Canyondam/Chester/Eastshore/Foxwood/Hamilton Branch/Lake Almanor Peninsula/Lake Almanor Peninsula/Lake Almanor West/Prattville/Warner Valley,Frontier,8.704451,470.2192,4093,4093
126,1,"126,127,130",126plus,126plus,Blythe/Chiriaco Summit/Desert Center/Eagle Mountain/Idyllwild/Pine Cove,65,Riverside,Blythe,Rural,86.906813,168.559856,14649,14432
127,2,"126,127,130",126plus,126plus,Blythe/Chiriaco Summit/Desert Center/Eagle Mountain/Idyllwild/Pine Cove,65,Riverside,Chiriaco Summit/Desert Center/Eagle Mountain,Frontier,2.672362,3838.925599,10259,2082
128,0,128,128,128,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,65,Riverside,Arabia/Coachella/Desert Beach/Flowing Wells/Indio South/La Quinta East/Mecca/Oasis/Thermal,Urban,318.708128,304.658059,97097,96494
129.1,0,129.1,129.1,129.1,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,65,Riverside,Bermuda Dunes South/Indian Wells/La Quinta West/Palm Desert/Rancho Mirage Central and South,Urban,935.262369,105.863341,99010,98679
129.2,0,129.2,129.2,129.2,Bermuda Dunes North/Indio North,65,Riverside,Bermuda Dunes North/Indio North,Urban,828.918695,60.78642,50387,50281
129.3,0,129.3,129.3,129.3,Agua Caliente/Palm Springs Central,65,Riverside,Agua Caliente/Palm Springs Central,Urban,299.039629,101.698895,30412,30412
129.4,0,129.4,129.4,129.4,Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North,65,Riverside,Cathedral City Southeast/Palm Desert North/Palm Springs South/Rancho Mirage North,Urban,438.011069,292.058828,127925,127164
130,2,"126,127,130",126plus,126plus,Blythe/Chiriaco Summit/Desert Center/Eagle Mountain/Idyllwild/Pine Cove,65,Riverside,Idyllwild/Pine Cove,Rural,14.480561,837.881893,12133,12133
131a,0,131a,131a,131a,Lake Elsinore/Murrieta West/Sedco Hills/Wildomar,65,Riverside,Lake Elsinore/Murrieta West/Sedco Hills/Wildomar,Urban,813.436241,165.583967,134692,134412
131b,0,131b,131b,131b,French Valley/Murrieta East/Temecula/Winchester,65,Riverside,French Valley/Murrieta East/Temecula/Winchester,Urban,809.193385,166.76854,134948,134031
131c,0,131c,131c,131c,Temecula South,65,Riverside,Temecula South,Urban,485.046964,154.100541,74746,74746
132,0,132,132,132,East Hemet/Hemet/Valle Vista,65,Riverside,East Hemet/Hemet/Valle Vista,Urban,1296.035356,107.963103,139924,138534
133.1,0,133.1,133.1,133.1,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester,65,Riverside,Canyon Lake/Perris/Quail Valley/Romoland/Sun City/Winchester,Urban,1114.087273,145.082888,161635,160898
133.2,0,133.2,133.2,133.2,Homeland/Lakeview/San Jacinto,65,Riverside,Homeland/Lakeview/San Jacinto,Urban,336.421392,71.529339,24064,23855
133.3,0,133.3,133.3,133.3,Glen Valley/Mead Valley,65,Riverside,Glen Valley/Mead Valley,Rural,242.436951,94.915399,23011,22826
134,0,134,134,134,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,65,Riverside,Banning/Beaumont/Cabizon/Calimesa/Cherry Valley,Urban,400.824356,333.280645,133587,131504
135a,0,135a,135a,135a,Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University,65,Riverside,Eastside/Fairmont Park/Riverside Downtown/Rubidoux/University,Urban,2918.480495,35.638751,104011,100045
135b,0,135b,135b,135b,Edgemont/Orange Crest/Woodcrest,65,Riverside,Edgemont/Orange Crest/Woodcrest,Urban,1712.828573,93.148259,159547,159262
135c,0,135c,135c,135c,Casablanca/Riverside Central,65,Riverside,Casablanca/Riverside Central,Urban,4592.927173,18.747521,86106,84208
135d,0,135d,135d,135d,Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest,65,Riverside,Arlington/Corona East/Home Gardens/La Sierra/Riverside Southwest,Urban,3000.222674,38.979773,116948,114714
135e,0,135e,135e,135e,Corona North/Glen Avon/Jurupa/Norco,65,Riverside,Corona North/Glen Avon/Jurupa/Norco,Urban,2626.559584,63.423651,166586,162038
135f,0,135f,135f,135f,Corona South/El Cerrito/Temescal,65,Riverside,Corona South/El Cerrito/Temescal,Urban,1525.721328,78.342615,119529,119257
135g,0,135g,135g,135g,Moreno Valley,65,Riverside,Moreno Valley,Urban,3515.127244,25.108052,88258,88076
136,1,"136,137,138",136plus,136plus,Clay/Galt/Herald/Wilton/Clarksburg/Hood/Isleton/Locke/Walnut Grove/Rancho Murieta/Sloughhouse,67,Sacramento,Clay/Galt/Herald/Wilton,Rural,175.964065,204.172367,35927,35777
137,2,"136,137,138",136plus,136plus,Clay/Galt/Herald/Wilton/Clarksburg/Hood/Isleton/Locke/Walnut Grove/Rancho Murieta/Sloughhouse,67,Sacramento,Clarksburg/Hood/Isleton/Locke/Walnut Grove,Rural,31.948955,163.260424,5216,5216
138,2,"136,137,138",136plus,136plus,Clay/Galt/Herald/Wilton/Clarksburg/Hood/Isleton/Locke/Walnut Grove/Rancho Murieta/Sloughhouse,67,Sacramento,Rancho Murieta/Sloughhouse,Rural,120.2977,157.775252,18980,18864
139a,0,139a,139a,139a,Elverta/Natomas/North Highlands/Rio Linda,67,Sacramento,Elverta/Natomas/North Highlands/Rio Linda,Urban,1959.557468,91.362974,179031,178361
139b,0,139b,139b,139b,Carmichael/Fair Oaks/Gold River,67,Sacramento,Carmichael/Fair Oaks/Gold River,Urban,3646.002884,25.073211,91417,89853
139c,0,139c,139c,139c,Antelope/Citrus Heights/Foothill Farms,67,Sacramento,Antelope/Citrus Heights/Foothill Farms,Urban,6143.781844,19.567426,120218,119658
139d,0,139d,139d,139d,Arcade/Arden/Town and Country Village,67,Sacramento,Arcade/Arden/Town and Country Village,Urban,4382.744754,17.166183,75235,74421
139e,0,139e,139e,139e,Folsom/Orangevale,67,Sacramento,Folsom/Orangevale,Urban,2539.656329,42.931793,109032,98573
139f,0,139f,139f,139f,Florin/Fruitridge/Oak Park/Parkway/South Sacramento,67,Sacramento,Florin/Fruitridge/Oak Park/Parkway/South Sacramento,Urban,6596.756156,17.814058,117515,116697
